KLBJ,11/10/2017,9:31pm,Fade To Black,Metallica
KLBJ,11/10/2017,9:28pm,Highway To Hell,AC/DC
KLBJ,11/10/2017,9:24pm,Nothin' But A Good Time,Poison
KLBJ,11/10/2017,9:19pm,Have A Cigar,Pink Floyd
KLBJ,11/10/2017,9:13pm,Alive,Pearl Jam
KLBJ,11/10/2017,9:09pm,Tightrope,Stevie Ray Vaughan
KLBJ,11/10/2017,9:05pm,All along the watchtower,Jimi Hendrix
KLBJ,11/10/2017,9:00pm,Janie's Got A Gun,Aerosmith
KLBJ,11/10/2017,8:44pm,Life's Been Good,Joe Walsh
KLBJ,11/10/2017,8:40pm,Sharp Dressed Man,ZZ Top
KLBJ,11/10/2017,8:27pm,Night Moves,Bob Seger & The Silver Bullet Band
KLBJ,11/10/2017,8:23pm,You Got Lucky,Tom Petty & The Heartbreakers
KLBJ,11/10/2017,8:18pm,Baba O'Riley,The Who
KLBJ,11/10/2017,8:14pm,Best Of You,Foo Fighters
KLBJ,11/10/2017,8:08pm,Sympathy For The Devil,The Rolling Stones
KLBJ,11/10/2017,8:02pm,Hysteria,Def Leppard
KLBJ,11/10/2017,7:59pm,Basket Case,Green Day
KLBJ,11/10/2017,7:55pm,I Want You To Want Me [Live],Cheap Trick
KLBJ,11/10/2017,7:45pm,In Bloom,Nirvana
KLBJ,11/10/2017,7:42pm,You Give Love A Bad Name,Bon Jovi
KLBJ,11/10/2017,7:36pm,Whole Lotta Love,Led Zeppelin
KLBJ,11/10/2017,7:24pm,Back In Black,AC/DC
KLBJ,11/10/2017,7:17pm,Money,Pink Floyd
KLBJ,11/10/2017,7:11pm,The Unforgiven,Metallica
KLBJ,11/10/2017,7:08pm,Your Love,The Outfield
KLBJ,11/10/2017,8:08pm,Sympathy For The Devil,The Rolling Stones
KLBJ,11/10/2017,8:02pm,Hysteria,Def Leppard
KLBJ,11/10/2017,7:59pm,Basket Case,Green Day
KLBJ,11/10/2017,7:55pm,I Want You To Want Me [Live],Cheap Trick
KLBJ,11/10/2017,7:45pm,In Bloom,Nirvana
KLBJ,11/10/2017,7:42pm,You Give Love A Bad Name,Bon Jovi
KLBJ,11/10/2017,7:36pm,Whole Lotta Love,Led Zeppelin
KLBJ,11/10/2017,7:24pm,Back In Black,AC/DC
KLBJ,11/10/2017,7:17pm,Money,Pink Floyd
KLBJ,11/10/2017,7:11pm,The Unforgiven,Metallica
KLBJ,11/10/2017,7:08pm,Your Love,The Outfield
KLBJ,11/10/2017,7:05pm,Break On Through,The Doors
KLBJ,11/10/2017,6:58pm,Patience,Guns N' Roses
KLBJ,11/10/2017,6:55pm,Hard To Handle,The Black Crowes
KLBJ,11/10/2017,6:44pm,Urgent,Foreigner
KLBJ,11/10/2017,6:39pm,We Will Rock You,Queen
KLBJ,11/10/2017,6:27pm,Crossfire,Stevie Ray Vaughan
KLBJ,11/10/2017,6:23pm,Bound For The Floor,Local H
KLBJ,11/10/2017,6:20pm,I Won't Back Down,Tom Petty
KLBJ,11/10/2017,6:14pm,Fool In The Rain,Led Zeppelin
KLBJ,11/10/2017,6:10pm,Cherry Pie,Warrant
KLBJ,11/10/2017,6:05pm,Born On The Bayou,Creedence Clearwater Revival
KLBJ,11/10/2017,6:01pm,Dreams,Van Halen
KLBJ,11/10/2017,5:54pm,Rooster,Alice In Chains
KLBJ,11/10/2017,5:42pm,Dirty Deeds Done Dirt Cheap,AC/DC
KLBJ,11/10/2017,5:38pm,Holy Diver,Dio
KLBJ,11/10/2017,5:33pm,Jeremy,Pearl Jam
KLBJ,11/10/2017,5:29pm,Everybody Wants You,Billy Squier
KLBJ,11/10/2017,5:15pm,Another Brick In The Wall (Part 2),Pink Floyd
KLBJ,11/10/2017,5:09pm,Black Hole Sun,Soundgarden
KLBJ,11/10/2017,5:04pm,Knockin' On Heaven's Door,Guns N' Roses
KLBJ,11/10/2017,5:01pm,No More Mister Nice Guy,Alice Cooper
KLBJ,11/10/2017,4:56pm,Don't Come Around Here No More,Tom Petty & The Heartbreakers
KLBJ,11/10/2017,4:51pm,Moby Dick,Led Zeppelin
KLBJ,11/10/2017,4:49pm,Good Riddance (Time Of Your Life),Green Day
KLBJ,11/10/2017,4:43pm,Love Bites,Def Leppard
KLBJ,11/10/2017,4:38pm,Smoke On The Water,Deep Purple
KLBJ,11/10/2017,4:34pm,Gimme All Your Lovin',ZZ Top
KLBJ,11/10/2017,4:30pm,Have A Drink On Me,AC/DC
KLBJ,11/10/2017,4:24pm,Crazy,Aerosmith
KLBJ,11/10/2017,4:19pm,Freewill,Rush
KLBJ,11/10/2017,4:16pm,You're My Best Friend,Queen
KLBJ,11/10/2017,4:12pm,"Mama, I'm Coming Home",Ozzy Osbourne
KLBJ,11/10/2017,4:08pm,Can't Get Enough,Bad Company
KLBJ,11/10/2017,3:57pm,Turn Up The Radio,Autograph
KLBJ,11/10/2017,3:48pm,Free Bird,Lynyrd Skynyrd
KLBJ,11/10/2017,3:45pm,The House Is Rockin',Stevie Ray Vaughan
KLBJ,11/10/2017,3:35pm,Go Your Own Way,Fleetwood Mac
KLBJ,11/10/2017,3:29pm,Dead & Bloated,Stone Temple Pilots
KLBJ,11/10/2017,3:26pm,Refugee,Tom Petty & The Heartbreakers
KLBJ,11/10/2017,3:23pm,Honky Tonk Women,The Rolling Stones
KLBJ,11/10/2017,3:10pm,Burnin' For You,Blue Oyster Cult
KLBJ,11/10/2017,3:05pm,Young Lust,Pink Floyd
KLBJ,11/10/2017,3:00pm,Shine,Collective Soul
KLBJ,11/10/2017,2:55pm,Black Dog,Led Zeppelin
KLBJ,11/10/2017,2:43pm,You Could Be Mine,Guns N' Roses
KLBJ,11/10/2017,2:37pm,Paradise City,Guns N' Roses
KLBJ,11/10/2017,2:32pm,Feels Like The First Time,Foreigner
KLBJ,11/10/2017,2:29pm,Double Vision,Foreigner
KLBJ,11/10/2017,2:26pm,School,Nirvana
KLBJ,11/10/2017,2:21pm,Smells Like Teen Spirit,Nirvana
KLBJ,11/10/2017,2:10pm,Sunday Bloody Sunday,U2
KLBJ,11/10/2017,2:02pm,Fortunate Son,Creedence Clearwater Revival
KLBJ,11/10/2017,2:00pm,Have You Ever Seen The Rain,Creedence Clearwater Revival
KLBJ,11/10/2017,1:55pm,Animal,Def Leppard
KLBJ,11/10/2017,1:43pm,Livin' On The Edge,Aerosmith
KLBJ,11/10/2017,1:40pm,China Grove,The Doobie Brothers
KLBJ,11/10/2017,1:35pm,Thunderstruck,AC/DC
KLBJ,11/10/2017,1:27pm,Foreplay Long Time,Boston
KLBJ,11/10/2017,1:16pm,I Drink Alone,George Thorogood & The Destroyers
KLBJ,11/10/2017,1:10pm,Nothing Else Matters,Metallica
KLBJ,11/10/2017,1:05pm,Carry On Wayward Son,Kansas
KLBJ,11/10/2017,1:00pm,I Can't Drive 55,Sammy Hagar
KLBJ,11/10/2017,12:55pm,Miss You,The Rolling Stones
KLBJ,11/10/2017,12:50pm,You Don't Know How It Feels,Tom Petty
KLBJ,11/10/2017,12:36pm,Money For Nothing,Dire Straits
KLBJ,11/10/2017,12:32pm,No One Like You,Scorpions
KLBJ,11/10/2017,12:27pm,Over The Hills And Far Away,Led Zeppelin
KLBJ,11/10/2017,12:22pm,Boulevard Of Broken Dreams,Green Day
KLBJ,11/10/2017,12:13pm,Live And Let Die,Guns N' Roses
KLBJ,11/10/2017,12:09pm,Foxey Lady,Jimi Hendrix
KLBJ,11/10/2017,12:05pm,Legs,ZZ Top
KLBJ,11/10/2017,12:00pm,Brain Damage/Eclipse,Pink Floyd
KLBJ,11/10/2017,11:55am,December,Collective Soul
KLBJ,11/10/2017,11:44am,Hold The Line,Toto
KLBJ,11/10/2017,11:39am,Shoot To Thrill,AC/DC
KLBJ,11/10/2017,11:35am,Walk This Way,Aerosmith
KLBJ,11/10/2017,11:31am,You Wreck Me,Tom Petty
KLBJ,11/10/2017,11:26am,Sister Christian,Night Ranger
KLBJ,11/10/2017,11:14am,White Room,Cream
KLBJ,11/10/2017,11:09am,Texas Flood,Stevie Ray Vaughan
KLBJ,11/10/2017,11:05am,Dreams,Fleetwood Mac
KLBJ,11/10/2017,10:59am,New Year's Day,U2
KLBJ,11/10/2017,10:55am,Bullet With Butterfly Wings,Smashing Pumpkins
KLBJ,11/10/2017,10:44am,Intruder,Van Halen
KLBJ,11/10/2017,10:41am,Proud Mary,Creedence Clearwater Revival
KLBJ,11/10/2017,10:37am,Daughter,Pearl Jam
KLBJ,11/10/2017,10:33am,Pour Some Sugar On Me,Def Leppard
KLBJ,11/10/2017,10:28am,Already Gone,The Eagles
KLBJ,11/10/2017,10:17am,Limelight,Rush
KLBJ,11/10/2017,10:13am,Fat Bottomed Girls,Queen
KLBJ,11/10/2017,10:09am,All Apologies,Nirvana
KLBJ,11/10/2017,10:00am,November Rain,Guns N' Roses
KLBJ,11/10/2017,4:57am,All My Love,Led Zeppelin
KLBJ,11/10/2017,4:52am,Tom Sawyer,Rush
KLBJ,11/10/2017,4:49am,No Rain,Blind Melon
KLBJ,11/10/2017,4:45am,La Grange,ZZ Top
KLBJ,11/10/2017,4:39am,Rock Of Ages,Def Leppard
KLBJ,11/10/2017,4:35am,"Rock And Roll, Hoochie Koo",Rick Derringer
KLBJ,11/10/2017,4:32am,The Wind Cries Mary,Jimi Hendrix
